x_H,C_time
0,0
0.024,-0.0177906
0.048,-0.030673
0.072,-0.0415568
0.096,-0.0510711
0.12,-0.0594367
0.144,-0.0669414
0.168,-0.0737398
0.192,-0.0797509
0.216,-0.0850907
0.24,-0.0898632
0.264,-0.0940858
0.288,-0.0978337
0.312,-0.101185
0.336,-0.10414
0.36,-0.106704
0.384,-0.108948
0.408,-0.110907
0.432,-0.112628
0.456,-0.114165
0.48,-0.115529
0.504,-0.116716
0.528,-0.117742
0.552,-0.118632
0.576,-0.11942
0.6,-0.120131
0.624,-0.120772
0.648,-0.12134
0.672,-0.121832
0.696,-0.122249
0.72,-0.122617
0.744,-0.122957
0.768,-0.123263
0.792,-0.123538
0.816,-0.12378
0.84,-0.123977
0.864,-0.124135
0.888,-0.124267
0.912,-0.124364
0.936,-0.124408
0.96,-0.124374
0.984,-0.124207
1.008,-0.123812
1.032,-0.122999
1.056,-0.121315
1.08,-0.117526
1.104,-0.107182
