x_H,C_time
0,0
0.046,-0.020989
0.092,-0.0312357
0.138,-0.0379879
0.184,-0.0429844
0.23,-0.0466769
0.276,-0.0495304
0.322,-0.0518566
0.368,-0.0536794
0.414,-0.0551269
0.46,-0.056314
0.506,-0.0573054
0.552,-0.0580683
0.598,-0.0586858
0.644,-0.0592293
0.69,-0.0596442
0.736,-0.0599637
0.782,-0.0602498
0.828,-0.0604836
0.874,-0.0606497
0.92,-0.0607951
0.966,-0.0609244
1.012,-0.0610122
1.058,-0.0610843
1.104,-0.0611548
1.15,-0.0612042
1.196,-0.0612354
1.242,-0.0612676
1.288,-0.0612956
1.334,-0.0613073
1.38,-0.0613161
1.426,-0.0613196
1.472,-0.0613076
1.518,-0.0612814
1.564,-0.0612401
1.61,-0.0611639
1.656,-0.061033
1.702,-0.0608217
1.748,-0.0604763
1.794,-0.0599088
1.84,-0.0589665
1.886,-0.0573872
1.932,-0.0547248
1.978,-0.0502237
2.024,-0.0427573
2.07,-0.0312233
