C_D,C_time
0.202,-0.0132278
0.404,-0.0154757
0.606,-0.016445
0.808,-0.0166945
1.01,-0.016981
1.212,-0.0171734
1.414,-0.0171382
1.616,-0.0171275
1.818,-0.0171688
2.02,-0.0172279
2.222,-0.0171785
2.424,-0.0171756
2.626,-0.0172173
2.828,-0.0172031
3.03,-0.0171572
3.232,-0.0171584
3.434,-0.0172156
3.636,-0.0171898
3.838,-0.0171509
4.04,-0.0171857
