C_D,C_time
0.00143159,0.20247
0.00155481,0.40494
0.00159684,0.60741
0.00161004,0.80988
0.00160126,1.01235
0.00159882,1.21482
0.00161237,1.41729
0.00161053,1.61976
0.00161522,1.82223
0.00160851,2.0247
0.00161153,2.22717
0.00161015,2.42964
0.00161127,2.63211
0.00160905,2.83458
0.00160865,3.03705
0.00161457,3.23952
0.0016128,3.44199
0.00160959,3.64446
0.00161253,3.84693
0.00161964,4.0494
