時系列,流量,流量2
1040400,93.88,41.98
1044000,92.42,41.26
1047600,90.97,41.26
1051200,89.53,41.26
1054800,88.1,40.55
1058400,86.69,39.84
1062000,83.89,40.55
1065600,82.51,39.84
1069200,82.51,39.84
1072800,81.14,39.84
1076400,79.78,39.84
1080000,79.78,39.84
1083600,78.44,39.84
1087200,78.44,39.84
1090800,79.78,39.84
1094400,82.51,40.55
1098000,85.29,40.55
1101600,89.53,41.26
1105200,93.88,42.71
1108800,104.43,44.93
1112400,123.82,49.28
1116000,157.9,58.43
1119600,202.52,76.32
1123200,303.12,114.19
1126800,488.56,173.77
1130400,726.2,278.62
1134000,1030.12,603.68
1137600,1309.21,930.13
1141200,1455.51,1052.87
1144800,1490.37,973.44
1148400,1415.36,988.1
1152000,1298.28,837.41
1155600,1170.66,732.57
1159200,1049.64,626.9
1162800,972.63,569.68
1166400,880.49,497.65
1170000,801.49,389.43
1173600,730.28,321.84
1177200,670.2,283.86
1180800,612.7,238.52
1184400,557.78,219.63
1188000,512.27,210.48
1191600,478.58,192.77
1195200,449.23,184.2
1198800,423.93,184.2
1202400,399.36,169.68
1206000,378.46,165.64
1209600,358.13,159.67
1213200,341.14,151.88
1216800,324.57,146.17
1220400,311.08,148.06
1224000,300.49,144.29
1227600,290.08,135.07
1231200,279.86,131.47
1234800,269.82,131.47
1238400,259.96,127.92
1242000,252.69,126.16
1245600,243.16,120.96
1249200,236.13,120.96
1252800,226.91,114.19
1256400,220.12,114.19
1260000,211.23,110.88
1263600,206.85,109.24
1267200,200.37,102.82
1270800,193.99,102.82
1274400,189.8,99.68
1278000,183.59,96.59
1281600,179.52,95.06
1285200,173.48,90.55
1288800,169.52,87.61
1292400,165.6,84.71
1296000,161.72,83.28
1299600,157.9,80.46
1303200,154.11,77.69
1306800,152.24,76.32
1310400,148.53,74.96
1314000,144.86,72.28
1317600,143.04,72.28
1321200,139.45,69.66
1324800,135.89,67.08
1328400,134.13,64.55
1332000,130.65,67.08
1335600,128.93,63.3
1339200,125.51,63.3
1342800,123.82,59.63
1346400,120.47,59.63
1350000,113.92,58.43
1353600,113.92,57.24
1357200,113.92,54.91
1360800,112.31,53.76
1364400,109.12,52.62
1368000,107.55,50.38
1371600,105.98,49.28
1375200,104.43,48.19
1378800,102.89,47.11
1382400,101.36,46.05
1386000,99.84,45.68
1389600,98.33,44.93
1393200,96.84,44.18
1396800,95.35,43.44
1400400,93.88,42.71
1404000,92.42,41.98
1407600,90.97,41.26
1411200,89.53,41.26
1414800,88.1,40.55
1418400,86.69,39.14
1422000,85.29,38.44
1425600,83.89,38.44
1429200,82.51,37.75
1432800,82.51,37.75
1436400,81.14,37.07
1440000,79.78,36.39
1443600,78.44,35.72
1447200,77.1,35.06
1450800,75.78,34.4
1454400,75.78,34.4
1458000,74.47,33.75
1461600,73.17,33.1
1465200,71.88,33.1
1468800,70.6,32.46
1472400,70.6,32.46
1476000,69.33,32.46
1479600,68.08,31.83
1483200,68.08,31.83
1486800,68.08,31.2
1490400,66.83,30.58
1494000,65.6,30.58
1497600,65.6,30.58
1501200,64.38,29.96
1504800,64.38,29.96
1508400,63.17,29.36
1512000,63.17,29.36
1515600,61.98,28.75
1519200,60.79,28.75
1522800,59.61,28.75
1526400,59.61,28.16
1530000,59.61,27.57
1533600,58.45,27.57
1537200,56.16,26.98
1540800,55.03,26.98
1544400,55.03,26.41
1548000,55.03,25.84
1551600,55.03,25.84
1555200,53.91,25.27
1558800,53.91,25.27
1562400,52.81,25.27
1566000,52.81,25.27
1569600,52.81,24.71
1573200,51.71,24.71
1576800,51.71,24.16
1580400,50.63,24.16
1584000,50.63,24.16
1587600,50.63,24.16
1591200,50.63,23.62
1594800,49.56,23.62
1598400,49.56,23.62
1602000,49.56,23.62
1605600,48.5,23.08
1609200,48.5,23.08
1612800,48.5,23.08
1616400,48.5,22.54
1620000,47.45,22.54
1623600,47.45,22.01
1627200,46.41,22.01
1630800,46.41,22.01
1634400,45.39,22.01
1638000,45.39,21.49
1641600,44.37,21.49
1645200,44.37,21.49
1648800,44.37,20.98
1652400,44.37,20.98
1656000,44.37,20.98
1659600,43.37,20.98
1663200,43.37,20.47
1666800,43.37,20.47
1670400,43.37,20.47
1674000,42.38,20.47
1677600,42.38,20.47
1681200,42.38,20.47
1684800,41.4,20.47
1688400,41.4,19.97
1692000,41.4,19.97
1695600,40.43,19.97
1699200,40.43,19.47
1702800,40.43,19.47
1706400,39.47,19.47
1710000,39.47,18.98
1713600,39.47,18.98
1717200,38.53,18.98
1720800,38.53,18.5
1724400,38.53,18.5
1728000,37.59,18.02
1731600,37.59,18.02
1735200,37.59,18.02
1738800,37.59,17.55
1742400,36.67,17.55
1746000,36.67,17.55
1749600,36.67,17.09
1753200,36.67,17.09
1756800,35.76,17.09
