x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0801049,0,0.00034018
0.449386,0.003,0.426039,0,0,0,0.114443,0,0.0237518
0.447569,0.003,0.431831,0,0,0,0.0974145,0,0.0419497
0.444623,0.003,0.437138,0,0,0,0.0557964,0,0.0389084
0.440669,0.003,0.441744,0,0,0,0.0651445,0,0.0685273
0.435869,0.003,0.445459,0,0,0,0.0383039,0,0.0615135
0.430419,0.003,0.448133,0,0,0,0.0465399,0,0.125182
0.424543,0.003,0.449654,0,0,0,0.0223757,0,0.143323
0.418481,0.003,0.449961,0,0,0,-0.00491602,0,0.108078
0.41248,0.003,0.449042,0,0,0,-0.0190112,0,0.0757106
0.406788,0.003,0.446934,0,0,0,-0.0575365,0,0.119156
0.401637,0.003,0.443723,0,0,0,-0.0076123,0,0.0110612
0.397237,0.003,0.439541,0,0,0,-0.0544254,0,0.0474642
0.39377,0.003,0.434559,0,0,0,0.0356693,0,-0.0193202
0.391376,0.003,0.428981,0,0,0,0.0333273,0,-0.0102029
0.390154,0.003,0.423035,0,0,0,0.0512406,0,-0.00503771
0.390154,0.003,0.416965,0,0,0,0.0614108,-0,0.00621938
0.391376,0.003,0.411019,0,0,0,0.0517363,-0,0.0160854
0.39377,0.003,0.405441,0,0,0,0.0477732,-0,0.0261495
0.397237,0.003,0.400459,0,0,0,-0.0211337,0,-0.0187919
0.401637,0.003,0.396277,0,0,0,0.0140423,-0,0.016986
0.406788,0.003,0.393066,0,0,0,-0.0301371,0,-0.0628812
0.41248,0.003,0.390958,0,0,0,-0.00718835,0,-0.0295231
0.41848,0.003,0.390038,0,0,0,-0.00215982,0,-0.0505833
0.424543,0.003,0.390346,0,0,0,0.0101269,0,-0.0647938
0.430419,0.003,0.391867,0,0,0,0.0166315,0,-0.0447609
0.435869,0.003,0.394541,0,0,0,0.00877802,0,-0.0142128
0.440669,0.003,0.398256,0,0,0,0.0265468,0,-0.0278883
0.444623,0.003,0.402862,0,0,0,0.0268766,0,-0.0185355
0.447569,0.003,0.408169,0,0,0,0.049006,0,-0.020887
0.449386,0.003,0.413961,0,0,0,0.0423051,0,-0.00845618
