x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0651642,0,-0.000218079
0.449386,0.003,0.426039,0,0,0,0.0479083,0,0.00974993
0.447569,0.003,0.431831,0,0,0,0.0399261,0,0.017058
0.444623,0.003,0.437138,0,0,0,0.0314461,0,0.0218218
0.440669,0.003,0.441744,0,0,0,0.0263727,0,0.0277266
0.435869,0.003,0.445459,0,0,0,0.00889487,0,0.0145121
0.430419,0.003,0.448133,0,0,0,0.0205657,0,0.0554156
0.424543,0.003,0.449654,0,0,0,0.0114888,0,0.0736519
0.418481,0.003,0.449961,0,0,0,-0.00238626,0,0.0549439
0.41248,0.003,0.449042,0,0,0,-0.00877342,0,0.0355992
0.406788,0.003,0.446934,0,0,0,-0.034647,0,0.0721767
0.401637,0.003,0.443723,0,0,0,0.0108961,0,-0.0130097
0.397237,0.003,0.439541,0,0,0,-0.0299909,0,0.0263874
0.39377,0.003,0.434559,0,0,0,0.0459148,0,-0.025096
0.391376,0.003,0.428981,0,0,0,0.047719,0,-0.0148015
0.390154,0.003,0.423035,0,0,0,0.0591971,0,-0.0059619
0.390154,0.003,0.416965,0,0,0,0.0526801,-0,0.00522026
0.391376,0.003,0.411019,0,0,0,0.0365112,-0,0.0112194
0.39377,0.003,0.405441,0,0,0,0.0366686,-0,0.0198944
0.397237,0.003,0.400459,0,0,0,-0.0477334,0,-0.0417512
0.401637,0.003,0.396277,0,0,0,-0.00641547,0,-0.00964778
0.406788,0.003,0.393066,0,0,0,-0.0565547,0,-0.117134
0.41248,0.003,0.390958,0,0,0,-0.0184393,0,-0.073695
0.41848,0.003,0.390038,0,0,0,-0.00502919,0,-0.11144
0.424543,0.003,0.390346,0,0,0,0.0227633,0,-0.145564
0.430419,0.003,0.391867,0,0,0,0.0467184,0,-0.12558
0.435869,0.003,0.394541,0,0,0,0.0397267,0,-0.0637263
0.440669,0.003,0.398256,0,0,0,0.0628058,0,-0.066068
0.444623,0.003,0.402862,0,0,0,0.0752867,0,-0.0526063
0.447569,0.003,0.408169,0,0,0,0.0870957,0,-0.0375268
0.449386,0.003,0.413961,0,0,0,0.0996859,0,-0.0206945
