x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0783803,0,0.000356919
0.449386,0.003,0.426039,0,0,0,0.114406,0,0.0237583
0.447569,0.003,0.431831,0,0,0,0.0961858,0,0.0414197
0.444623,0.003,0.437138,0,0,0,0.0519193,0,0.0361945
0.440669,0.003,0.441744,0,0,0,0.0628449,0,0.0661081
0.435869,0.003,0.445459,0,0,0,0.0364973,0,0.0586381
0.430419,0.003,0.448133,0,0,0,0.0447822,0,0.12048
0.424543,0.003,0.449654,0,0,0,0.0216665,0,0.138815
0.418481,0.003,0.449961,0,0,0,-0.00476854,0,0.104871
0.41248,0.003,0.449042,0,0,0,-0.0183614,0,0.0731601
0.406788,0.003,0.446934,0,0,0,-0.0559134,0,0.115824
0.401637,0.003,0.443723,0,0,0,-0.00632837,0,0.00939076
0.397237,0.003,0.439541,0,0,0,-0.0526371,0,0.0459214
0.39377,0.003,0.434559,0,0,0,0.0364452,0,-0.0197564
0.391376,0.003,0.428981,0,0,0,0.0345237,0,-0.0105835
0.390154,0.003,0.423035,0,0,0,0.0519827,0,-0.00512044
0.390154,0.003,0.416965,0,0,0,0.0613886,-0,0.00621239
0.391376,0.003,0.411019,0,0,0,0.0513746,-0,0.0159675
0.39377,0.003,0.405441,0,0,0,0.0477301,-0,0.0261264
0.397237,0.003,0.400459,0,0,0,-0.0203531,0,-0.0181169
0.401637,0.003,0.396277,0,0,0,0.0139617,-0,0.0168936
0.406788,0.003,0.393066,0,0,0,-0.029368,0,-0.0612745
0.41248,0.003,0.390958,0,0,0,-0.00667709,0,-0.0275224
0.41848,0.003,0.390038,0,0,0,-0.00201185,0,-0.0474939
0.424543,0.003,0.390346,0,0,0,0.00957046,0,-0.0611884
0.430419,0.003,0.391867,0,0,0,0.0154419,0,-0.0415412
0.435869,0.003,0.394541,0,0,0,0.00831995,0,-0.0134518
0.440669,0.003,0.398256,0,0,0,0.0253452,0,-0.0266262
0.444623,0.003,0.402862,0,0,0,0.0254438,0,-0.0175477
0.447569,0.003,0.408169,0,0,0,0.0489463,0,-0.0208687
0.449386,0.003,0.413961,0,0,0,0.0390749,0,-0.00778704
