x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0608989,0,-0.000181532
0.449386,0.003,0.426039,0,0,0,0.0464063,0,0.00947212
0.447569,0.003,0.431831,0,0,0,0.0380127,0,0.01626
0.444623,0.003,0.437138,0,0,0,0.0274388,0,0.0190382
0.440669,0.003,0.441744,0,0,0,0.0236724,0,0.0248818
0.435869,0.003,0.445459,0,0,0,0.00851954,0,0.0138587
0.430419,0.003,0.448133,0,0,0,0.0182191,0,0.0491097
0.424543,0.003,0.449654,0,0,0,0.0106119,0,0.0680722
0.418481,0.003,0.449961,0,0,0,-0.00223348,0,0.0514553
0.41248,0.003,0.449042,0,0,0,-0.00818712,0,0.0332733
0.406788,0.003,0.446934,0,0,0,-0.0329586,0,0.0686998
0.401637,0.003,0.443723,0,0,0,0.0121789,0,-0.0146762
0.397237,0.003,0.439541,0,0,0,-0.0286287,0,0.0252108
0.39377,0.003,0.434559,0,0,0,0.0462999,0,-0.0253083
0.391376,0.003,0.428981,0,0,0,0.047989,0,-0.014887
0.390154,0.003,0.423035,0,0,0,0.0593693,0,-0.00597239
0.390154,0.003,0.416965,0,0,0,0.0534048,-0,0.00529713
0.391376,0.003,0.411019,0,0,0,0.0375573,-0,0.0115549
0.39377,0.003,0.405441,0,0,0,0.0372614,-0,0.0202282
0.397237,0.003,0.400459,0,0,0,-0.0455528,0,-0.039862
0.401637,0.003,0.396277,0,0,0,-0.00469739,0,-0.007402
0.406788,0.003,0.393066,0,0,0,-0.0539067,0,-0.111676
0.41248,0.003,0.390958,0,0,0,-0.017652,0,-0.0705463
0.41848,0.003,0.390038,0,0,0,-0.00481064,0,-0.106384
0.424543,0.003,0.390346,0,0,0,0.0214976,0,-0.137588
0.430419,0.003,0.391867,0,0,0,0.0436273,0,-0.117317
0.435869,0.003,0.394541,0,0,0,0.0374175,0,-0.0600446
0.440669,0.003,0.398256,0,0,0,0.0596663,0,-0.062763
0.444623,0.003,0.402862,0,0,0,0.0732349,0,-0.051166
0.447569,0.003,0.408169,0,0,0,0.0832171,0,-0.0358542
0.449386,0.003,0.413961,0,0,0,0.0923414,0,-0.0191608
