x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.059535,0,0.000233833
0.449386,0.003,0.426039,0,0,0,0.0723372,0,0.0150155
0.447569,0.003,0.431831,0,0,0,0.0519178,0,0.0223244
0.444623,0.003,0.437138,0,0,0,0.0189773,0,0.0131709
0.440669,0.003,0.441744,0,0,0,0.0338366,0,0.0356032
0.435869,0.003,0.445459,0,0,0,0.0144614,0,0.0235018
0.430419,0.003,0.448133,0,0,0,0.0279631,0,0.0753615
0.424543,0.003,0.449654,0,0,0,0.0148784,0,0.0953342
0.418481,0.003,0.449961,0,0,0,-0.00332348,0,0.0744301
0.41248,0.003,0.449042,0,0,0,-0.0127801,0,0.0513269
0.406788,0.003,0.446934,0,0,0,-0.0442589,0,0.0919413
0.401637,0.003,0.443723,0,0,0,0.00350179,0,-0.00334959
0.397237,0.003,0.439541,0,0,0,-0.0417638,0,0.0365671
0.39377,0.003,0.434559,0,0,0,0.0403795,0,-0.021971
0.391376,0.003,0.428981,0,0,0,0.0377268,0,-0.0116073
0.390154,0.003,0.423035,0,0,0,0.0527726,0,-0.00521966
0.390154,0.003,0.416965,0,0,0,0.0576167,-0,0.00581473
0.391376,0.003,0.411019,0,0,0,0.0453038,-0,0.014038
0.39377,0.003,0.405441,0,0,0,0.0410925,-0,0.0224106
0.397237,0.003,0.400459,0,0,0,-0.0356481,0,-0.0312882
0.401637,0.003,0.396277,0,0,0,0.00108113,-0,0.000178297
0.406788,0.003,0.393066,0,0,0,-0.0456169,0,-0.0946209
0.41248,0.003,0.390958,0,0,0,-0.0138733,0,-0.0557361
0.41848,0.003,0.390038,0,0,0,-0.00388877,0,-0.0874666
0.424543,0.003,0.390346,0,0,0,0.0182776,0,-0.116909
0.430419,0.003,0.391867,0,0,0,0.0366472,0,-0.0984603
0.435869,0.003,0.394541,0,0,0,0.0309278,0,-0.0496091
0.440669,0.003,0.398256,0,0,0,0.0538465,0,-0.0566255
0.444623,0.003,0.402862,0,0,0,0.0684058,0,-0.047729
0.447569,0.003,0.408169,0,0,0,0.062097,0,-0.0266455
0.449386,0.003,0.413961,0,0,0,0.0398055,0,-0.00799276
