x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0613169,0,0.00023679
0.449386,0.003,0.426039,0,0,0,0.0728319,0,0.0151139
0.447569,0.003,0.431831,0,0,0,0.0519349,0,0.0223314
0.444623,0.003,0.437138,0,0,0,0.0193027,0,0.013396
0.440669,0.003,0.441744,0,0,0,0.0326715,0,0.0343698
0.435869,0.003,0.445459,0,0,0,0.01417,0,0.0230269
0.430419,0.003,0.448133,0,0,0,0.0269988,0,0.0727873
0.424543,0.003,0.449654,0,0,0,0.014437,0,0.0925532
0.418481,0.003,0.449961,0,0,0,-0.00323224,0,0.0723291
0.41248,0.003,0.449042,0,0,0,-0.0123992,0,0.0498078
0.406788,0.003,0.446934,0,0,0,-0.0429949,0,0.089334
0.401637,0.003,0.443723,0,0,0,0.00422528,0,-0.00429715
0.397237,0.003,0.439541,0,0,0,-0.040558,0,0.0355233
0.39377,0.003,0.434559,0,0,0,0.0405307,0,-0.0220585
0.391376,0.003,0.428981,0,0,0,0.0380465,0,-0.0117122
0.390154,0.003,0.423035,0,0,0,0.0527702,0,-0.00522252
0.390154,0.003,0.416965,0,0,0,0.0571321,-0,0.0057617
0.391376,0.003,0.411019,0,0,0,0.0447557,-0,0.0138654
0.39377,0.003,0.405441,0,0,0,0.0407461,-0,0.0222188
0.397237,0.003,0.400459,0,0,0,-0.0353515,0,-0.0310279
0.401637,0.003,0.396277,0,0,0,0.00116792,-0,0.000300171
0.406788,0.003,0.393066,0,0,0,-0.0449342,0,-0.0932018
0.41248,0.003,0.390958,0,0,0,-0.013713,0,-0.0550798
0.41848,0.003,0.390038,0,0,0,-0.00382942,0,-0.0860399
0.424543,0.003,0.390346,0,0,0,0.0179158,0,-0.114628
0.430419,0.003,0.391867,0,0,0,0.0358515,0,-0.0963334
0.435869,0.003,0.394541,0,0,0,0.0307189,0,-0.0492858
0.440669,0.003,0.398256,0,0,0,0.0537567,0,-0.0565318
0.444623,0.003,0.402862,0,0,0,0.0661017,0,-0.0460795
0.447569,0.003,0.408169,0,0,0,0.0611749,0,-0.0262209
0.449386,0.003,0.413961,0,0,0,0.0409276,0,-0.00820974
