x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.057475,0,-0.000338167
0.449386,0.003,0.426039,0,0,0,0.0382674,0,0.00763071
0.447569,0.003,0.431831,0,0,0,0.0430367,0,0.0183621
0.444623,0.003,0.437138,0,0,0,0.0689309,0,0.0480099
0.440669,0.003,0.441744,0,0,0,0.0464311,0,0.0488273
0.435869,0.003,0.445459,0,0,0,0.0247604,0,0.0397573
0.430419,0.003,0.448133,0,0,0,0.03084,0,0.0828693
0.424543,0.003,0.449654,0,0,0,0.0155437,0,0.0995138
0.418481,0.003,0.449961,0,0,0,-0.00310996,0,0.0706619
0.41248,0.003,0.449042,0,0,0,-0.0114593,0,0.0461204
0.406788,0.003,0.446934,0,0,0,-0.0410912,0,0.0853166
0.401637,0.003,0.443723,0,0,0,0.00405302,0,-0.00419832
0.397237,0.003,0.439541,0,0,0,-0.0345225,0,0.0302549
0.39377,0.003,0.434559,0,0,0,0.0433342,0,-0.0236707
0.391376,0.003,0.428981,0,0,0,0.0479493,0,-0.0148819
0.390154,0.003,0.423035,0,0,0,0.0598002,0,-0.00605632
0.390154,0.003,0.416965,0,0,0,0.0516427,-0,0.00508724
0.391376,0.003,0.411019,0,0,0,0.0359895,-0,0.0110481
0.39377,0.003,0.405441,0,0,0,0.0387889,-0,0.0210762
0.397237,0.003,0.400459,0,0,0,-0.0411067,0,-0.0360722
0.401637,0.003,0.396277,0,0,0,0.0011631,-0,0.000137985
0.406788,0.003,0.393066,0,0,0,-0.0474826,0,-0.0985639
0.41248,0.003,0.390958,0,0,0,-0.0144697,0,-0.0581269
0.41848,0.003,0.390038,0,0,0,-0.00394431,0,-0.0879057
0.424543,0.003,0.390346,0,0,0,0.0167094,0,-0.106939
0.430419,0.003,0.391867,0,0,0,0.0309646,0,-0.0834188
0.435869,0.003,0.394541,0,0,0,0.0188241,0,-0.0304859
0.440669,0.003,0.398256,0,0,0,0.0370589,0,-0.0389938
0.444623,0.003,0.402862,0,0,0,0.0308913,0,-0.0214868
0.447569,0.003,0.408169,0,0,0,0.0517384,0,-0.0222475
0.449386,0.003,0.413961,0,0,0,0.0865153,0,-0.0180107
