x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0897587,0,-0.00043972
0.449386,0.003,0.426039,0,0,0,0.050719,0,0.0101122
0.447569,0.003,0.431831,0,0,0,0.0428243,0,0.0180467
0.444623,0.003,0.437138,0,0,0,0.0461035,0,0.0317762
0.440669,0.003,0.441744,0,0,0,0.0320917,0,0.0337024
0.435869,0.003,0.445459,0,0,0,0.00975033,0,0.0157307
0.430419,0.003,0.448133,0,0,0,0.0162702,0,0.0437292
0.424543,0.003,0.449654,0,0,0,0.00959742,0,0.0613662
0.418481,0.003,0.449961,0,0,0,-0.00172475,0,0.0414735
0.41248,0.003,0.449042,0,0,0,-0.00599343,0,0.0247166
0.406788,0.003,0.446934,0,0,0,-0.0290582,0,0.0606191
0.401637,0.003,0.443723,0,0,0,0.0134837,0,-0.0164471
0.397237,0.003,0.439541,0,0,0,-0.0224583,0,0.0198623
0.39377,0.003,0.434559,0,0,0,0.0479806,0,-0.0262795
0.391376,0.003,0.428981,0,0,0,0.0525886,0,-0.0163612
0.390154,0.003,0.423035,0,0,0,0.0624798,0,-0.00635401
0.390154,0.003,0.416965,0,0,0,0.049119,-0,0.0048061
0.391376,0.003,0.411019,0,0,0,0.0309314,-0,0.00943597
0.39377,0.003,0.405441,0,0,0,0.0340395,-0,0.0184102
0.397237,0.003,0.400459,0,0,0,-0.0524225,0,-0.0458201
0.401637,0.003,0.396277,0,0,0,-0.0088237,0,-0.0128233
0.406788,0.003,0.393066,0,0,0,-0.0598651,0,-0.123963
0.41248,0.003,0.390958,0,0,0,-0.0198398,0,-0.07919
0.41848,0.003,0.390038,0,0,0,-0.00532508,0,-0.117525
0.424543,0.003,0.390346,0,0,0,0.0235169,0,-0.150384
0.430419,0.003,0.391867,0,0,0,0.0476527,0,-0.128138
0.435869,0.003,0.394541,0,0,0,0.0397705,0,-0.0638659
0.440669,0.003,0.398256,0,0,0,0.0652846,0,-0.0686734
0.444623,0.003,0.402862,0,0,0,0.0636697,0,-0.0443494
0.447569,0.003,0.408169,0,0,0,0.0855733,0,-0.0368024
0.449386,0.003,0.413961,0,0,0,0.128843,0,-0.0267725
