x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0498039,0,-3.43771e-05
0.449386,0.003,0.426039,0,0,0,0.0652037,0,0.0134349
0.447569,0.003,0.431831,0,0,0,0.0729753,0,0.0314495
0.444623,0.003,0.437138,0,0,0,0.067844,0,0.0474133
0.440669,0.003,0.441744,0,0,0,0.0546911,0,0.0575281
0.435869,0.003,0.445459,0,0,0,0.0325672,0,0.0522626
0.430419,0.003,0.448133,0,0,0,0.0394655,0,0.106117
0.424543,0.003,0.449654,0,0,0,0.0192192,0,0.123139
0.418481,0.003,0.449961,0,0,0,-0.00408309,0,0.0907134
0.41248,0.003,0.449042,0,0,0,-0.0154411,0,0.0617044
0.406788,0.003,0.446934,0,0,0,-0.049472,0,0.102554
0.401637,0.003,0.443723,0,0,0,-0.00183594,0,0.00349815
0.397237,0.003,0.439541,0,0,0,-0.0444826,0,0.0388608
0.39377,0.003,0.434559,0,0,0,0.0396505,0,-0.0215795
0.391376,0.003,0.428981,0,0,0,0.0414108,0,-0.0127899
0.390154,0.003,0.423035,0,0,0,0.0559862,0,-0.00559915
0.390154,0.003,0.416965,0,0,0,0.0564989,-0,0.00564282
0.391376,0.003,0.411019,0,0,0,0.0440397,-0,0.0136216
0.39377,0.003,0.405441,0,0,0,0.0438538,-0,0.0239293
0.397237,0.003,0.400459,0,0,0,-0.0297577,0,-0.0262593
0.401637,0.003,0.396277,0,0,0,0.00917278,-0,0.0105944
0.406788,0.003,0.393066,0,0,0,-0.0368242,0,-0.0766432
0.41248,0.003,0.390958,0,0,0,-0.0102056,0,-0.0413485
0.41848,0.003,0.390038,0,0,0,-0.0028843,0,-0.0653257
0.424543,0.003,0.390346,0,0,0,0.0123427,0,-0.0790817
0.430419,0.003,0.391867,0,0,0,0.0213142,0,-0.0574717
0.435869,0.003,0.394541,0,0,0,0.0105747,0,-0.0172147
0.440669,0.003,0.398256,0,0,0,0.0242027,0,-0.0254524
0.444623,0.003,0.402862,0,0,0,0.0239342,0,-0.0166602
0.447569,0.003,0.408169,0,0,0,0.0416822,0,-0.0179067
0.449386,0.003,0.413961,0,0,0,0.0558478,0,-0.011553
