x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0832634,0,-0.000339337
0.449386,0.003,0.426039,0,0,0,0.0566302,0,0.0113697
0.447569,0.003,0.431831,0,0,0,0.0412848,0,0.0173559
0.444623,0.003,0.437138,0,0,0,0.055582,0,0.0383684
0.440669,0.003,0.441744,0,0,0,0.0454933,0,0.0478053
0.435869,0.003,0.445459,0,0,0,0.0204732,0,0.0329444
0.430419,0.003,0.448133,0,0,0,0.0246141,0,0.0662045
0.424543,0.003,0.449654,0,0,0,0.0130381,0,0.0835573
0.418481,0.003,0.449961,0,0,0,-0.00262394,0,0.0596359
0.41248,0.003,0.449042,0,0,0,-0.0100918,0,0.0406343
0.406788,0.003,0.446934,0,0,0,-0.0366431,0,0.0761103
0.401637,0.003,0.443723,0,0,0,0.00517025,0,-0.00567826
0.397237,0.003,0.439541,0,0,0,-0.0322937,0,0.0283302
0.39377,0.003,0.434559,0,0,0,0.0410779,0,-0.0224173
0.391376,0.003,0.428981,0,0,0,0.0428106,0,-0.0132531
0.390154,0.003,0.423035,0,0,0,0.0558705,0,-0.00563209
0.390154,0.003,0.416965,0,0,0,0.0498334,-0,0.00493552
0.391376,0.003,0.411019,0,0,0,0.035319,-0,0.0108516
0.39377,0.003,0.405441,0,0,0,0.0363955,-0,0.0197582
0.397237,0.003,0.400459,0,0,0,-0.0463981,0,-0.0406188
0.401637,0.003,0.396277,0,0,0,-0.00531072,0,-0.00823959
0.406788,0.003,0.393066,0,0,0,-0.056095,0,-0.116247
0.41248,0.003,0.390958,0,0,0,-0.0170493,0,-0.0683928
0.41848,0.003,0.390038,0,0,0,-0.00469159,0,-0.105552
0.424543,0.003,0.390346,0,0,0,0.021994,0,-0.140259
0.430419,0.003,0.391867,0,0,0,0.044265,0,-0.118885
0.435869,0.003,0.394541,0,0,0,0.0327049,0,-0.0524858
0.440669,0.003,0.398256,0,0,0,0.0572393,0,-0.0602033
0.444623,0.003,0.402862,0,0,0,0.0515989,0,-0.0359511
0.447569,0.003,0.408169,0,0,0,0.0654388,0,-0.0281268
0.449386,0.003,0.413961,0,0,0,0.103787,0,-0.0215286
