x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0872877,0,-0.000452739
0.449386,0.003,0.426039,0,0,0,0.0506088,0,0.0100291
0.447569,0.003,0.431831,0,0,0,0.0387213,0,0.0161832
0.444623,0.003,0.437138,0,0,0,0.0577637,0,0.0398183
0.440669,0.003,0.441744,0,0,0,0.0423545,0,0.0444901
0.435869,0.003,0.445459,0,0,0,0.0156316,0,0.0251704
0.430419,0.003,0.448133,0,0,0,0.0221375,0,0.0594599
0.424543,0.003,0.449654,0,0,0,0.0119049,0,0.0760702
0.418481,0.003,0.449961,0,0,0,-0.00213236,0,0.0503738
0.41248,0.003,0.449042,0,0,0,-0.00761163,0,0.031056
0.406788,0.003,0.446934,0,0,0,-0.0328726,0,0.0684144
0.401637,0.003,0.443723,0,0,0,0.0096642,0,-0.0115175
0.397237,0.003,0.439541,0,0,0,-0.025198,0,0.0222095
0.39377,0.003,0.434559,0,0,0,0.0463649,0,-0.0253859
0.391376,0.003,0.428981,0,0,0,0.0523071,0,-0.0162769
0.390154,0.003,0.423035,0,0,0,0.0623507,0,-0.00635794
0.390154,0.003,0.416965,0,0,0,0.0479801,-0,0.00467733
0.391376,0.003,0.411019,0,0,0,0.0298179,-0,0.00907987
0.39377,0.003,0.405441,0,0,0,0.0342897,-0,0.0185511
0.397237,0.003,0.400459,0,0,0,-0.051223,0,-0.044804
0.401637,0.003,0.396277,0,0,0,-0.00688978,0,-0.0103415
0.406788,0.003,0.393066,0,0,0,-0.057881,0,-0.119923
0.41248,0.003,0.390958,0,0,0,-0.0186864,0,-0.0747
0.41848,0.003,0.390038,0,0,0,-0.00500041,0,-0.110731
0.424543,0.003,0.390346,0,0,0,0.0216922,0,-0.138678
0.430419,0.003,0.391867,0,0,0,0.0425823,0,-0.114541
0.435869,0.003,0.394541,0,0,0,0.0322146,0,-0.0518309
0.440669,0.003,0.398256,0,0,0,0.0560524,0,-0.0589669
0.444623,0.003,0.402862,0,0,0,0.0477943,0,-0.0332442
0.447569,0.003,0.408169,0,0,0,0.0679823,0,-0.0292145
0.449386,0.003,0.413961,0,0,0,0.116154,0,-0.0241385
