x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.000329209,0,-1.4246e-06
0.449386,0.003,0.426039,0,0,0,0.000386981,0,7.97875e-05
0.447569,0.003,0.431831,0,0,0,0.000320757,0,0.000141712
0.444623,0.003,0.437138,0,0,0,0.000290511,0,0.000209947
0.440669,0.003,0.441744,0,0,0,0.00026245,0,0.000274028
0.435869,0.003,0.445459,0,0,0,0.000180535,0,0.000275046
0.430419,0.003,0.448133,0,0,0,0.000170286,0,0.000412311
0.424543,0.003,0.449654,0,0,0,9.87398e-05,0,0.000454836
0.418481,0.003,0.449961,0,0,0,1.75552e-05,0,0.000501561
0.41248,0.003,0.449042,0,0,0,-7.31799e-05,0,0.000467672
0.406788,0.003,0.446934,0,0,0,-0.000234071,0,0.000616623
0.401637,0.003,0.443723,0,0,0,-4.04697e-05,0,0.000150814
0.397237,0.003,0.439541,0,0,0,-0.000188916,0,0.000221878
0.39377,0.003,0.434559,0,0,0,0.000349226,0,-0.000145586
0.391376,0.003,0.428981,0,0,0,0.000218702,0,-4.4904e-05
0.390154,0.003,0.423035,0,0,0,0.000328597,0,-2.37343e-05
0.390154,0.003,0.416965,0,0,0,0.000326358,-0,2.3617e-05
0.391376,0.003,0.411019,0,0,0,0.000226218,-0,4.71576e-05
0.39377,0.003,0.405441,0,0,0,0.000352432,-0,0.000146527
0.397237,0.003,0.400459,0,0,0,-0.000146942,0,-0.000192597
0.401637,0.003,0.396277,0,0,0,-9.08763e-06,0,-0.000128664
0.406788,0.003,0.393066,0,0,0,-0.000222086,0,-0.000587779
0.41248,0.003,0.390958,0,0,0,-5.74337e-05,0,-0.000420355
0.41848,0.003,0.390038,0,0,0,2.27324e-05,0,-0.000458184
0.424543,0.003,0.390346,0,0,0,9.45213e-05,0,-0.000412242
0.430419,0.003,0.391867,0,0,0,0.000152238,0,-0.000363052
0.435869,0.003,0.394541,0,0,0,0.000170241,0,-0.000258168
0.440669,0.003,0.398256,0,0,0,0.000241945,0,-0.000252608
0.444623,0.003,0.402862,0,0,0,0.000261539,0,-0.000190737
0.447569,0.003,0.408169,0,0,0,0.000328599,0,-0.000145271
0.449386,0.003,0.413961,0,0,0,0.000373126,0,-7.85261e-05
