x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0628723,0,-0.00036937
0.449386,0.003,0.426039,0,0,0,0.0393679,0,0.00780173
0.447569,0.003,0.431831,0,0,0,0.0415346,0,0.0176438
0.444623,0.003,0.437138,0,0,0,0.0754398,0,0.0524765
0.440669,0.003,0.441744,0,0,0,0.050377,0,0.0529617
0.435869,0.003,0.445459,0,0,0,0.0265192,0,0.0425565
0.430419,0.003,0.448133,0,0,0,0.0318589,0,0.0855823
0.424543,0.003,0.449654,0,0,0,0.0159137,0,0.101852
0.418481,0.003,0.449961,0,0,0,-0.00315872,0,0.0717636
0.41248,0.003,0.449042,0,0,0,-0.0116585,0,0.0468907
0.406788,0.003,0.446934,0,0,0,-0.0412269,0,0.0855931
0.401637,0.003,0.443723,0,0,0,0.00378384,0,-0.00385703
0.397237,0.003,0.439541,0,0,0,-0.0346606,0,0.0303684
0.39377,0.003,0.434559,0,0,0,0.0429263,0,-0.0234484
0.391376,0.003,0.428981,0,0,0,0.0478663,0,-0.0148605
0.390154,0.003,0.423035,0,0,0,0.0594908,0,-0.00603369
0.390154,0.003,0.416965,0,0,0,0.050214,-0,0.004934
0.391376,0.003,0.411019,0,0,0,0.034217,-0,0.0104862
0.39377,0.003,0.405441,0,0,0,0.0375841,-0,0.0204031
0.397237,0.003,0.400459,0,0,0,-0.0433668,0,-0.0380245
0.401637,0.003,0.396277,0,0,0,-0.000422214,0,-0.0019295
0.406788,0.003,0.393066,0,0,0,-0.0496792,0,-0.103084
0.41248,0.003,0.390958,0,0,0,-0.0152781,0,-0.0613135
0.41848,0.003,0.390038,0,0,0,-0.00414177,0,-0.0922837
0.424543,0.003,0.390346,0,0,0,0.0176517,0,-0.112911
0.430419,0.003,0.391867,0,0,0,0.0329949,0,-0.0888437
0.435869,0.003,0.394541,0,0,0,0.0209349,0,-0.0338445
0.440669,0.003,0.398256,0,0,0,0.0406055,0,-0.0427254
0.444623,0.003,0.402862,0,0,0,0.0321255,0,-0.0223273
0.447569,0.003,0.408169,0,0,0,0.0506365,0,-0.0217594
0.449386,0.003,0.413961,0,0,0,0.0902008,0,-0.0187706
