x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.0662844,0,-0.000378709
0.449386,0.003,0.426039,0,0,0,0.0412978,0,0.00819844
0.447569,0.003,0.431831,0,0,0,0.0380748,0,0.0161002
0.444623,0.003,0.437138,0,0,0,0.064759,0,0.0449597
0.440669,0.003,0.441744,0,0,0,0.0463078,0,0.0486922
0.435869,0.003,0.445459,0,0,0,0.0237527,0,0.0381677
0.430419,0.003,0.448133,0,0,0,0.0279593,0,0.0751462
0.424543,0.003,0.449654,0,0,0,0.0142011,0,0.0909806
0.418481,0.003,0.449961,0,0,0,-0.00283901,0,0.0645578
0.41248,0.003,0.449042,0,0,0,-0.0104926,0,0.0422634
0.406788,0.003,0.446934,0,0,0,-0.0378354,0,0.0785993
0.401637,0.003,0.443723,0,0,0,0.00608715,0,-0.00685977
0.397237,0.003,0.439541,0,0,0,-0.0318603,0,0.0279465
0.39377,0.003,0.434559,0,0,0,0.0434872,0,-0.023762
0.391376,0.003,0.428981,0,0,0,0.0481487,0,-0.0149497
0.390154,0.003,0.423035,0,0,0,0.0596824,0,-0.00604343
0.390154,0.003,0.416965,0,0,0,0.0513264,-0,0.00505243
0.391376,0.003,0.411019,0,0,0,0.0358791,-0,0.0110193
0.39377,0.003,0.405441,0,0,0,0.0386318,-0,0.0209896
0.397237,0.003,0.400459,0,0,0,-0.0398819,0,-0.0350072
0.401637,0.003,0.396277,0,0,0,0.00192369,-0,0.00114199
0.406788,0.003,0.393066,0,0,0,-0.0457163,0,-0.0949111
0.41248,0.003,0.390958,0,0,0,-0.014221,0,-0.0570729
0.41848,0.003,0.390038,0,0,0,-0.00387196,0,-0.0858628
0.424543,0.003,0.390346,0,0,0,0.0161673,0,-0.1036
0.430419,0.003,0.391867,0,0,0,0.0298706,0,-0.0805239
0.435869,0.003,0.394541,0,0,0,0.0196915,0,-0.0318515
0.440669,0.003,0.398256,0,0,0,0.0365718,0,-0.0384631
0.444623,0.003,0.402862,0,0,0,0.0331078,0,-0.0230092
0.447569,0.003,0.408169,0,0,0,0.0537266,0,-0.0231033
0.449386,0.003,0.413961,0,0,0,0.0930554,0,-0.0193733
