x,y,z,velx,vely,velz,ax,ay,az
0.45,0.003,0.42,0,0,0,0.000328122,0,-1.37189e-06
0.449386,0.003,0.426039,0,0,0,0.000385724,0,7.95583e-05
0.447569,0.003,0.431831,0,0,0,0.000319682,0,0.00014127
0.444623,0.003,0.437138,0,0,0,0.000289476,0,0.000209224
0.440669,0.003,0.441744,0,0,0,0.000261577,0,0.000273126
0.435869,0.003,0.445459,0,0,0,0.000179928,0,0.000274132
0.430419,0.003,0.448133,0,0,0,0.000169733,0,0.000410955
0.424543,0.003,0.449654,0,0,0,9.8461e-05,0,0.000453448
0.418481,0.003,0.449961,0,0,0,1.75463e-05,0,0.00050015
0.41248,0.003,0.449042,0,0,0,-7.29106e-05,0,0.000466352
0.406788,0.003,0.446934,0,0,0,-0.000233562,0,0.000615377
0.401637,0.003,0.443723,0,0,0,-4.00221e-05,0,0.000150135
0.397237,0.003,0.439541,0,0,0,-0.000188272,0,0.000221271
0.39377,0.003,0.434559,0,0,0,0.000349248,0,-0.000145617
0.391376,0.003,0.428981,0,0,0,0.00021898,0,-4.50005e-05
0.390154,0.003,0.423035,0,0,0,0.000328747,0,-2.37456e-05
0.390154,0.003,0.416965,0,0,0,0.000326543,-0,2.36521e-05
0.391376,0.003,0.411019,0,0,0,0.000226598,-0,4.73043e-05
0.39377,0.003,0.405441,0,0,0,0.000352501,-0,0.000146609
0.397237,0.003,0.400459,0,0,0,-0.000146109,0,-0.000191801
0.401637,0.003,0.396277,0,0,0,-8.54821e-06,0,-0.000127818
0.406788,0.003,0.393066,0,0,0,-0.000221407,0,-0.000586143
0.41248,0.003,0.390958,0,0,0,-5.71063e-05,0,-0.000418731
0.41848,0.003,0.390038,0,0,0,2.2721e-05,0,-0.000456485
0.424543,0.003,0.390346,0,0,0,9.4193e-05,0,-0.000410616
0.430419,0.003,0.391867,0,0,0,0.000151616,0,-0.000361516
0.435869,0.003,0.394541,0,0,0,0.000169535,0,-0.000257091
0.440669,0.003,0.398256,0,0,0,0.000241028,0,-0.00025165
0.444623,0.003,0.402862,0,0,0,0.000260579,0,-0.00019002
0.447569,0.003,0.408169,0,0,0,0.000327482,0,-0.000144753
0.449386,0.003,0.413961,0,0,0,0.000371733,0,-7.81927e-05
