-3.700000000000000178e+00,2.627168703662183098e-05
-3.119783960903605990e+00,-2.705855003369151378e-03
-2.539567921807211803e+00,5.387034247083387784e-04
-1.959351882710817616e+00,-1.732315451352524696e-03
-1.379135843614423873e+00,4.912595956819906795e-04
-7.989198045180296859e-01,-1.176991779370680901e-03
-2.187037654216350546e-01,7.260202374111568869e-04
3.615122736747586885e-01,-6.095729472945807335e-04
9.417283127711524315e-01,7.209673940038046095e-04
1.521944351867547063e+00,-1.841876153731721955e-04
2.102160390963940806e+00,7.087559360994945094e-04
2.682376430060335437e+00,2.226551355494100365e-04
3.262592469156730068e+00,6.501813056391166643e-04
3.842808508253122923e+00,1.056007364198250417e-03
4.423024547349517555e+00,2.943365055926775668e-03
5.003240586445911298e+00,8.037909623934564804e-03
5.583456625542305041e+00,2.181068641080444181e-02
6.163672664638700560e+00,5.638980928097447887e-02
6.743888703735094303e+00,1.330817949053277327e-01
7.324104742831488046e+00,2.931144060152476860e-01
7.904320781927881789e+00,7.143184668962405670e-01
